"","iphone","iphonedisunc","iphonedisneg","iphoneperpos","iphonedispos","iphonecampos","iphonecamunc","iphoneperneg","iphoneperunc","iphonesentiment.1","iphonesentiment"
"219",0,0,0,2,0,1,0,0,0,"0","1"
"220",1,0,0,0,0,0,0,0,0,"5","6"
"221",1,0,0,0,0,0,0,0,0,"5","6"
"222",0,0,0,0,0,0,0,0,0,"0","1"
"223",7,0,0,0,3,0,0,1,0,"5","6"
"224",0,0,0,0,0,0,0,0,0,"0","1"
"225",0,0,0,0,0,0,0,0,0,"0","1"
"226",0,0,0,0,0,0,0,0,0,"0","1"
"227",0,2,0,0,0,0,0,0,0,"0","1"
"228",41,5,0,0,0,0,0,0,0,"5","6"
"229",0,4,0,0,0,0,0,0,0,"0","1"
"230",1,0,0,0,0,0,0,0,0,"5","6"
"231",1,0,0,0,0,0,0,0,0,"5","6"
"232",0,0,0,0,0,0,0,0,0,"0","1"
"233",0,0,0,0,0,0,0,0,0,"0","1"
"234",0,0,0,1,0,0,0,0,0,"0","1"
"235",0,0,0,0,1,0,0,0,0,"0","1"
"236",1,0,0,0,0,0,0,0,0,"5","6"
"237",0,0,2,0,0,0,0,0,0,"0","1"
"238",1,0,0,0,2,0,0,0,0,"3","4"
"239",0,0,2,7,0,0,0,0,0,"0","1"
"240",1,0,0,0,0,0,0,0,0,"5","6"
"241",1,1,0,0,0,0,0,0,1,"5","6"
"242",0,0,0,0,0,3,0,0,0,"0","1"
"243",0,0,0,0,0,0,0,0,0,"0","1"
"244",0,0,0,1,0,0,0,0,0,"0","1"
"245",0,0,0,0,0,0,0,0,0,"0","1"
"246",0,0,0,0,0,0,0,1,0,"0","1"
"247",0,0,0,0,0,0,0,0,0,"0","1"
"248",1,0,0,0,0,0,0,0,0,"5","6"
"249",4,0,0,0,0,0,0,0,0,"5","6"
"250",0,0,1,0,0,0,0,0,0,"0","1"
"251",0,0,0,0,0,0,0,0,0,"0","1"
"252",1,3,0,0,3,0,0,0,8,"5","6"
"253",1,0,0,0,0,0,0,0,0,"5","6"
"254",0,0,0,0,0,0,0,0,0,"0","1"
"255",1,0,0,0,1,0,0,0,0,"3","4"
"256",11,0,0,0,0,3,1,0,1,"5","6"
"257",0,0,0,0,0,0,0,0,0,"0","1"
"258",1,0,0,0,0,0,0,0,0,"5","6"
"259",1,0,0,0,0,0,0,0,0,"5","6"
"260",0,0,0,0,0,0,0,1,0,"0","1"
"261",0,0,0,0,0,0,0,1,0,"0","1"
"262",0,1,5,0,0,0,0,0,0,"0","1"
"263",1,0,0,0,0,0,0,0,0,"5","6"
"264",41,4,0,0,0,0,0,0,0,"5","6"
"265",1,9,0,0,0,0,0,0,5,"5","6"
"266",2,0,0,0,0,1,0,0,0,"5","6"
"267",0,0,0,1,0,0,0,0,0,"0","1"
"268",0,0,0,0,0,0,0,1,0,"0","1"
"269",0,0,0,0,0,0,2,0,0,"0","1"
"270",1,0,0,0,0,0,0,0,0,"5","6"
"271",0,1,0,0,0,0,0,0,0,"0","1"
"272",0,0,0,0,0,0,0,0,0,"0","1"
"273",1,0,0,0,0,0,0,0,0,"5","6"
"274",1,0,0,0,0,0,0,0,0,"5","6"
"275",0,0,1,0,0,0,0,0,0,"0","1"
"276",0,0,0,0,0,0,0,0,0,"0","1"
"277",1,0,0,0,0,0,0,0,0,"5","6"
"278",1,1,0,0,0,0,0,0,0,"3","4"
"279",1,0,0,0,0,0,0,0,0,"5","6"
"280",2,0,0,0,0,0,0,0,0,"5","6"
"281",1,0,0,0,0,0,0,0,0,"5","6"
"282",0,3,0,0,0,0,0,0,0,"0","1"
"283",2,0,0,0,0,0,0,0,0,"5","6"
"284",0,0,0,1,0,0,0,0,0,"0","1"
"285",41,4,0,0,0,0,0,0,0,"5","6"
"286",0,0,0,0,0,0,0,1,0,"0","1"
"287",0,0,10,5,0,1,1,0,0,"0","1"
"288",0,0,0,0,1,0,0,0,0,"0","1"
"289",0,0,0,0,0,0,0,0,0,"0","1"
"290",0,0,0,0,0,3,0,0,0,"0","1"
"291",1,0,0,0,0,0,0,0,0,"5","6"
"292",11,0,0,0,0,3,1,0,1,"5","6"
"293",0,0,0,0,0,0,0,0,0,"0","1"
"294",0,0,0,3,0,0,0,0,0,"0","1"
"295",1,0,0,0,0,0,0,0,0,"5","6"
"296",0,0,0,0,0,0,0,0,0,"0","1"
"297",0,0,0,0,0,0,0,0,0,"0","1"
"298",0,0,0,0,0,0,0,0,0,"0","1"
"299",1,0,0,0,0,0,0,0,0,"5","6"
"300",0,0,0,3,0,0,0,0,0,"0","1"
